review,Used it for,Owned for,Ridden for,rating,Visual Appeal,Reliability,Performance,Service Experience,Extra Features,Comfort,Maintenance cost,Value for Money,Model Name
"It's amazing and very comfortable for riding ,colour is beautiful and very good performance .It's charge goes very long lasting ;its not too cost to buy it and looks very great in its pleasant colour It can buy by all types of people .So its outstanding .Little maintenance can cares it long lasting.",Daily Commute,Never owned,,4,4,4,,5,,5,,5,Hero Electric Optima
My experience is very low this scooty. I am so sad after buying this. Parts are so much costly and and very much light parts are used in their vehicle. Its parts break easily. Don't buy it. Charger quality is very low. Cheated us with very bad products used in a branded vehicle.,Daily Commute,3-6 months,< 5000 kms,1,1,1,,1,,1,,1,Hero Electric Optima
"Worst experience from agna hero electric jp nagar bangalore. No proper response from dealers on bike arrival, they said we receive the bike by 2 weeks but they gave the bike after 5weeks.
Ride quality is average.
Body panels quality is worst.
Headlights have loose connections.
Motor performance is good. But facing improper power supply issues due to loose connections.
Servicing is bad at this location.
Experienced front brake drum broken into pieces and got completely jammed in the middle of the road.
Safety-wise zero-rating.",Daily Commute,6 months-1 yr,< 5000 kms,1,2,1,,1,,2,,2,Hero Electric Optima
"1,2,4 service center not cover warranty any minor problems. I will face many problems this optimal hs500. Very slow scooter. My headlights problems. But service center not response. Worthless scooter. Spare parts also very expensive very slow scooter. My headlights problems. But service center not response. Worthless scooter. Spare parts also very expensive.",Daily Commute,3-6 months,< 5000 kms,2,3,2,,1,,3,,3,Hero Electric Optima
Service is very poor. 2 months back my battery got damaged till now they didn't respond or repair .Waste service. .,Daily Commute,> 1 yr,< 5000 kms,1,2,1,,1,,1,,2,Hero Electric Optima
Very good looking bike and need it in my daily local use. Value for money. Comfortable great mileage. Best of the best look wise and mileage wise. Economical and trusted brand. I like it because I have to go to my duty and always problem with petrol filling. So many times I faced lot of problems with petrol filling. So to minimize cost and petrol saving i need hero eclectic optima lx(hspl) model.,Daily Commute,Never owned,,5,5,5,,5,,5,,5,Hero Electric Optima
"First of all its not hero motocrop, its completely different company.. No match to other ev riding and build quality. Bike in not stable, handling and suspension are horrible. Fail to climb on steep roads. Motor is not producing enough power.
Low quality of plastic, range is very low, and worst customer service , don't go for it.",Everything,> 1 yr,5000-10000 kms,1,1,1,,1,,1,,1,Hero Electric Optima
"It is a good scooter
1.Buying experience: it costed me Rs. 65000
2.Riding experience: I have good riding experience. Smooth and hassle free.
3.Details about looks, performance etc: good looks and satisfying performance. Low build quality.
4.Servicing and maintenance: doesn't require service like fuel vehicle.
5.Pros and cons:
Pros:- light in weight. Easy to handle. No service required. Environment friendly. No noise population. Large boot space.
Cons:- due to light in weight when trucks or buses quickly pass away nearby the scooter flicks a little.
Cannot place the scooter everywhere at hilly areas the scooter found to roll backwards.
Their is a chance of decrease of range because of the rider weight, height of climb, loading weight. Etc..
When it is kept in rain the scooter runs but the meters get stuck for 1 hour and becomes normal. So keep it away water but the scooter is water resistant and water proof.",Daily Commute,6 months-1 yr,< 5000 kms,3,5,4,,5,,5,,4,Hero Electric Optima
I have purchased hero electric optima lx from Bhavya traders Sitamarhi Bihar. But I think they have given me old charger. When I told about this. they gave me duplicate charger of another company. If possible it's my request to company pls resolve my problem. This charger now is taking 4 to 6 hours for charging.,Leisure Rides,> 1 yr,5000-10000 kms,1,1,1,,1,,1,,2,Hero Electric Optima
"Note the best,
Range is bad, they claimed 120km but has 80km range.
Speed is normal 46 km max
Shockers is bad,
Brakes are worst,
Battery indicator is not accurate, same with charger indicator,
Body material is also not good.",Daily Commute,< 3 months,< 5000 kms,1,1,1,,1,,1,,3,Hero Electric Optima
"Switching electric is wise decision, as environment issues are the top most concern in today's time. Top ev manufactures working impatiently to convert traditional mobility into e-mobility. Hero electric, tvs motors, Bajaj auto, amo electric bikes, ola, Ather are the notable automakers disrupting indian ev market with great products.",Everything,Never owned,,4,,,,,,,,,Hero Electric Optima
,Daily Commute,< 3 months,< 5000 kms,4,4,4,,4,,4,,4,Hero Electric Optima
"Worst service experience, no response, kind of monopoly once you purchase the product. Waiting time for parts. Poor response time. Monopoly of attending the complaints. Only one official assigned no seniors to him for immediate assistance. Worst post purchase experience.",Daily Commute,> 1 yr,< 5000 kms,1,4,2,,1,,3,,3,Hero Electric Optima
"I bought this on 6th july 2021 and its just a waste of money in 2 months first its charger point got melt after that its brake wire got broken and after that its handle got broken from inside in just 2 months I spent rs1000 on it. In service center they didn't do anything in service just clean it and tighten the brake that its. I told them the problem of handle at the time of service but they didn't do anything. I totally disagreed with this optima lithium. I suggest you all that don't buy it, its totally waste of your money.",Daily Commute,< 3 months,< 5000 kms,1,1,1,,1,,1,,1,Hero Electric Optima
I purchased avon bike hero optima. The dealer's service is bad. No response to any enquiries. Very poor.,Tours,Never owned,,1,1,1,,1,,1,,3,Hero Electric Optima
Buy electric power and go beyond the petrol pump. I feel good by an electric bike because it is good for the earth and the environment of our world. This is the most powerful gadget to our earth this is the best gadget gift our planet. It is easy to buy electric bike and the experience is very good no tension to charge the bike.,Daily Commute,6 months-1 yr,5000-10000 kms,5,5,5,,3,,5,,4,Hero Electric Optima
"The bike of hero optima is very good & smooth. It is easy to carry and easy to handle to every one. It is save fuel and saves our environment and also save our greenery. It's look are so pretty & stylish. I want that every one should buy an e-bike then our environment will be totally pollution free, so i suggest every one to try this bike.",Daily Commute,> 1 yr,> 15000 kms,5,5,5,,5,,5,,4,Hero Electric Optima
"1. Don't have comfortable foot rest for pillion ( if women as pillion sits along one side)
2. Don't shows proper battery percentage ( leans on the stand on the road )
3. It's like bullock cart. Yes we need to brake before 20 meters to stop this vehicle presently
4. No need of driving licence and vehicle registration
5. Good for senior citizens",Daily Commute,3-6 months,5000-10000 kms,2,5,4,,4,,3,,3,Hero Electric Optima
"Battery inflated in six months of purchase same happened 2-3 new batteries. Company should do something that the battery sustains atleast 1-2 year or 10000 km or may be 500 charging cycles.
The body strength is not worth spending 36000 what I paid as it is very delicate plastic body. Company do not receive phone call or also don't reply mail even. Overall hero could be mismanaged organization.",Daily Commute,> 1 yr,10000-15000 kms,2,4,1,,2,,3,,3,Hero Electric Optima
It’s a good scooter for internal use. It goes upto 42 kms with 2 people onboard. It can cover more than 60 kms on good roads. In city and on rural roads it covers more than 50 kms. Overall a good scooter with zero maintenance. Very light weight so kids can also drive. Would recommend potential buyers to go for it.,Leisure Rides,6 months-1 yr,< 5000 kms,5,5,5,,5,,4,,4,Hero Electric Optima
"I owned the hero optima plus before 3 months and the experience was very slow.The thing of riding was it was quite comfortable. The look was superb as it was looking like a future fantastic scooter.Servicing was not much important as i not got a chance to take priority. At-last i experienced a slow but steady, comfortable and a better choice than others.",Daily Commute,< 3 months,5000-10000 kms,4,5,5,,4,,4,,4,Hero Electric Optima
Its a amazing mopey bike and good quality hero is like super bike developer . Good mileage Good quality Best performance like a good performance. Servicing and maintenance are very easy to the handle and love for the look of the hero electric optima plus it's my dream electrical scout love you hero breaks Indian best brand,Everything,> 1 yr,5000-10000 kms,5,5,5,,5,,5,,5,Hero Electric Optima
Good electronic bike for local office use and special for my wife and children because my son and daughter go when tuition and school than many problems for travelling but than i think bought a bike my child told me this hero electronic bike and i bought a bike and my child and i also very happy so thanks hero electric bike.,Daily Commute,3-6 months,< 5000 kms,5,5,5,,5,,5,,4,Hero Electric Optima
"It's very nice, i got a new bike because, i love it to ride every day.This is my dream for get a new bike. I like a electric flash scooty, it's a good for college student because of sometimes,no money for petrol that's only it's helpful for everything. And it's stylish and stiffen type of scooty. It's wonder really i love it.",Daily Commute,> 1 yr,> 15000 kms,5,5,5,,5,,5,,5,Hero Electric Optima
This hero optimus give good performance and it also save my fuel and i daily use it for 3-4 hours and charged at night it's backup is very excellent and it's battery is also of very good quality and i don't get any issue about it and i maintain service interval of 3-4 months it work very smoothly and it's designed is also very attractive special blue colour.,Everything,3-6 months,5000-10000 kms,4,5,5,,5,,5,,4,Hero Electric Optima
"It has to charge frequently,on charging it for 10 to 12 hours it give 8 to 10 kilometre, no after purchase sale, review after 5 days use ,worst electric scooter i have purchased , i gave assurance that it give 50km after 8 hour charge ,it doesn't meet my expectations , tell the truth that average is not given.",Occasional Commute,< 3 months,< 5000 kms,1,4,1,,1,,3,,1,Hero Electric Optima
"Absolutely!Apart from being eco-friendly, electric bikes are easy on pockets as well. First of all, buying an electric bike doesn’t cost you as much as purchasing a conventional scooter. Plus, conventional automobiles need gasoline as fuel that costs you too much. This way, e-bikes save you a considerable share of your regular income. So using an e-bike means you save big and saving is earning!Perks offered by the e-bikes· low running cost· low capital investment· low-cost maintenance· tax saving opportunity Furthermore, e-bikes can also save you a big amount on the annual tax you pay. They’re eligible for depreciation at 80% p.A. So, along with all the other benefits, you also hold for this extra opportunity to save on your tax.If you don’t believe, one of the e-bike manufacturers shows how economical e-bikes are with compared to the conventional scooters. Calculate it now!!!.",Everything,> 1 yr,10000-15000 kms,5,5,5,,5,,5,,5,Hero Electric Optima
"Hero electric optima plus is amazing bike . From 1 year i am using it , its mileage, performance is great. It can't take so much fuel to run. It looks very nice. It can't take much service . One thing is bad that it runs in slow speed about 35-40 kmph. In local use it is best vehicle. I suggest people to must buy it.",Everything,> 1 yr,< 5000 kms,4,4,5,,3,,4,,4,Hero Electric Optima
"Buying experience is to good. I'm very excited about this bike. Everbody stares at me. Riding experience is worst. Build quality is too worst
Plastic body of this scooty got wreck in just one year. It take 12000/ year for changing the battery.no spare part available. These scooty is bad. I bought this at 35000. Now i want to sell these and no one is not ready to buy this from me. No resale value. Not reliable scooter. Poor and performance is not good. Seat is poor, breaks in 2-3 months.",Daily Commute,> 1 yr,10000-15000 kms,1,1,1,,1,,1,,1,Hero Electric Optima
This is the waste experience with the product and service only 10 km mileage with full charge after only 5 month this is waste product and services i have to be used never suggested to any of the other to purchase the product when i was purchase this product dealer say that this maintenance free bike but now it creates many problems every month need to be maintained any part of the bike i feel dissatisfied with the product and service.,Daily Commute,3-6 months,< 5000 kms,1,1,1,,1,,,,2,Hero Electric Optima
"Very attractive beautiful,eco green the hero electric cruz, although features a only a 250watt electric motor, comes with telescopic front forks and an advanced throttle mechanism that helps in quick acceleration. The cruz also features a large storage section and can travel 70km on a single charge. The cruz, owing to its small engine, need not be registered by the rto, nor does it require a licence.",Daily Commute,< 3 months,< 5000 kms,5,,,,5,,5,,5,Hero Electric Optima
"1. No, price is very reasonable.2. As a student riding experience is good enough.3. Yeah, you will get bored sometime while riding, as its speed 30km/hr avg.4. It have low cost maintenance, but if battery get bad you will need handsome amount of money to get it repair (10000rs approx.)5. Pros: run for 40 km in single charge. cons: very slow.",Daily Commute,> 1 yr,< 5000 kms,3,4,4,,5,,4,,4,Hero Electric Optima
,Daily Commute,> 1 yr,10000-15000 kms,2,3,3,,1,,3,,4,Hero Electric Optima
,Daily Commute,< 3 months,< 5000 kms,5,5,5,,5,,5,,5,Hero Electric Optima
,Daily Commute,3-6 months,< 5000 kms,4,4,3,,3,,4,,4,Hero Electric Optima
,Everything,< 3 months,< 5000 kms,4,5,,,,,4,,4,Hero Electric Optima
,Daily Commute,< 3 months,< 5000 kms,4,4,4,,3,,4,,4,Hero Electric Optima
,Daily Commute,6 months-1 yr,< 5000 kms,4,4,3,,3,,4,,4,Hero Electric Optima
"Buying experience is good, nice service.Riding very smooth and safety.I like the matte red colour, i give 5 star for all service but i give 4 star for mileage.Service are good. Affordable price , good looking.",Daily Commute,> 1 yr,< 5000 kms,4,5,4,,5,,4,,4,Hero Electric Optima
It is a average bike. Performance is average. Full charge goes 60 km. It is good for city riding. If you will go long distance it is problem.If you want this for local riding it is good. Actually i have bought for my wife. It writes smooth its maximum speed 25 kilometre per hour. Service is average.,Daily Commute,> 1 yr,< 5000 kms,3,4,4,,3,,4,,4,Hero Electric Optima
"Buying experience was quite satisfying. Riding experience for starting 2 months was good but suspension was not as good for little bit broken roads . Handle lock is of weak quality , braking is also low , it's body is not as durable the mudguard get off within two months . Servicing is too slow. It is good for traveling in local area .",Daily Commute,3-6 months,< 5000 kms,3,3,3,,2,,4,,4,Hero Electric Optima
This electric scooty is best for college students and official works .It is available in many colours . It can get full charge in 3-4hours and can give 80km backup. I use this scooty for college . It's look is very beautiful. The dealer sold me this and told me the necessary information and i am following the instructions given by him and it's working nice by his given instructions.Its service is very low as compared to any petrol-diesel vehicles. It's only cons is that it can't be used for long distance.,Everything,< 3 months,< 5000 kms,5,5,5,,5,,5,,5,Hero Electric Optima
"Really nice to ride in it.I have it for nearly for 5 years. Electrically chargeable. Doesn't require licences to drive,doesn't require helmet but it will be safe to wear.I changed the battery twice for 2 and 1/2 years but the shop retailers suggested for only for one year.I will be a good choice to buy it.In full charge it will travel about 55km at 30km second .",Everything,> 1 yr,5000-10000 kms,4,4,4,,4,,4,,5,Hero Electric Optima
It is very smooth scooty Its eco friendly. It helped a lot in saving energy and reducing emissions it's maintenance is somewhat high but consumption is low it's average is about 12 paise per km which is very less l am happy with this scooty a lot l will recommend this to other clients also with trustworthy.,Leisure Rides,6 months-1 yr,< 5000 kms,4,4,4,,3,,3,,4,Hero Electric Optima
Hero electric optima is a good entry level electric scooter with a maximum speed of 40km/hr. Pickup is good even when 2 persons are riding on it. Gives a smooth and comfortable ride. Suspensions are goid with maximum shock absorber. This scooty can go upto 60kms in a single charge. Charging time varies between 4-5 hrs at most.I have been using it since march 2019 and have no problems yet. The bike also has less maintenance compared to other fuel bikes .The build quality is also very good. Overall i am truly satisfied with such a awesome vehicle from hero electric.,Daily Commute,> 1 yr,< 5000 kms,4,5,5,,5,,4,,4,Hero Electric Optima
I bought hero electric optima last three month ago. I like it very much.It designs so cool and riding very comfortable. I haven't any problem with this.There is no maintenance.I charge it three to four hour and use it for full day.My wife and daughter also use for marketing and tuition class etc simply it fulfill all my needs thanks.,Daily Commute,< 3 months,< 5000 kms,4,5,4,,4,,4,,4,Hero Electric Optima
"Optima model scooty very good and look very awesome. Riding experience from my friend. I had drive this vehicle hero electric optima from my friend and it is to good and amazing experience and i like its body design and good speed its speed is 40 kmph and have drum brakes and on full charge it can drive 65 km. So guys i think you may take experience of hero electric optima and it is eco -friendly vehicle.Buying experience is good, nice service.Riding very smooth and safety.I like the matte red colour, i give 5 star for all service but i give 5 star for mileage.Service are good. Affordable price , good looking.",Daily Commute,> 1 yr,> 15000 kms,5,5,5,,5,,5,,4,Hero Electric Optima
2. Riding experience from my friend. I had drive this vehicle hero electric optima from my friend and it is to good and amazing experience and i like its body design and good speed its speed is 40 kmph and have drum brakes and on full charge it can drive 65 km. So guys i think you may take experience of hero electric optima and it is eco -friendly vehicle.,Occasional Commute,Never owned,,5,5,5,,5,,5,,5,Hero Electric Optima
"Only problem which i faced with this scooty is mileage, as it runs only 30-40 km however company has claimed for 60km. If company can look into this and get it resolved, it will be super bike, people really liking this one, when i on road and they as the details of the same. Only constraint is mileage.Looks are awesome, no one can tell by looking that its a electric bike.",Occasional Commute,< 3 months,< 5000 kms,3,5,3,,4,,4,,4,Hero Electric Optima
"Do not buy e-scooty , otherwise you will suffer . I am writing this review after using middle of 2016 . Worst battery service . Stock battery dies within 1 year and 2 months . I did not use 8 months thereafter . Then I installed new set of battery middle of 2018 and wished this time more careful about battery than before . But what a bog mistake . Now again I am suffering . New battery dies again within 1 year only . Let me clear that I am very careful about battery . I never charged it to the load of 100% . I always charged less than 100% . I never loaded my scooty to much because I was fearful about over-load damage . I always discharged it fully before charge again . And every time I gave at least 1 hour rest , before and after charging . But still it depressed me .",Daily Commute,> 1 yr,> 15000 kms,1,3,1,,1,,4,,1,Hero Electric Optima
"I really excited to purchase this e-bike... Hero optima is one of my best choice in e-bike so i would like to buy this very soon..Much better than other options in e-bike... i suggest all who want some good ride with best experience, you will definitely have a good option in ev. money saving and environmental product....",Daily Commute,Never owned,,5,4,5,,4,,5,,5,Hero Electric Optima
"I had electric optima la battery model earlier also., again i bought optima with li battery model., riding experience is good as earlier - smooth running without any noise . Amazing style - looks pretty , but the thing which i dislike the structure made with fibre - may not resist prolong . Somehow it is better then earlier. With li battery vehicle goes hike in price - at this price tag that should be insured , company must look after in this matter for those who have purchased scooty too. I had brought yesterday evening on 13th june , hope it will be again better - hopefully some more better experience for me and kids too , as i purchased low speed scooty. Must provided with insurance facility.",Daily Commute,< 3 months,< 5000 kms,3,4,,,,,4,,4,Hero Electric Optima
Nice work on a scooty then feeling in very comfortable ride on scooty on low maintenance dependable for ride so working on scooty then battery charged fast running on this new condition then work on scooty 45 km running on scooty my parents very happy on scooty running then comfortable scooty then comfortable break.,Tours,Never owned,,5,5,4,,5,,5,,5,Hero Electric Optima
"Product is good. But service is measurable. My under warranty battery taken by dealer for replacement >15 days. Still no one knows the status. Service manager, dealer customer service dept all in dark. No job sheet is there. Hence i can't even go to court.The vehicle is good. It used to provide mileage of 50. But after 10th month mileage reduced. In 11th month i approached co for battery replacement.",Daily Commute,6 months-1 yr,< 5000 kms,4,5,3,,1,,3,,4,Hero Electric Optima
I have an hero electric optima since one year and I am very happy with the performance according other electric scooter and the look of this is very good anyone not judge that this is electric or petrol scooter this have no service and maintenance cost with the performance I am very happy thank hero.,Everything,> 1 yr,> 15000 kms,5,5,5,,5,,5,,5,Hero Electric Optima
I like the alloy rims on the tires and it is good looking and i love to ride the vehicle it's superb to ride it and i changed the tyres to tubeless and i put anti theft on it and handle bar light now it look like awesome and you gays to check it ok and buy a e bike from hero you gays will love it i promise gays and it is fantastic.,Everything,< 3 months,< 5000 kms,5,5,5,,5,,5,,5,Hero Electric Optima
"Its amazing bike with great colors, very good & smooth. It is easy to carry and easy to handle to every one. It is save fuel and saves our environment and also save our greenery. It's look are so pretty & stylish.",Daily Commute,< 3 months,< 5000 kms,4,4,4,,5,,5,,5,Hero Electric Optima
Buying experience was great.Looks and performance are excellent. It is very comfortable to ride. Servicing is also not costly . And hero gives us 3 years warranty for battery. And the scooter who's speed is 30 does not require license. Charging takes 4 hours to complete and once charging is done full you can ride till 60 km.,Daily Commute,> 1 yr,5000-10000 kms,5,,,,,,,,,Hero Electric Optima
"This scooty is cheap in comparison to his price ,over all this is working but his engine performance is not working when scooty cross 1,00,000 km ,so over all scooty is better than activa 4g,5g,125 activa this is made by hero hero is best in mechanism of scooty and bike so i will prefer to buy optima hero.",Tours,> 1 yr,> 15000 kms,5,,,,,,,,,Hero Electric Optima
"No RC received from last 1 year, bought it from Ludhiana auto, Chandigarh road. Still, no one is responding positively.
Poor service by the sales and service department, no response by the executive.
I have started referring tnr to all my friends and bought 2 tnr for friends..
Worst company I have ever come across.",Occasional Commute,> 1 yr,< 5000 kms,1,4,1,,1,,1,,2,Hero Electric Optima
"1)buying experience is very bad not fulfilled any comments,
2) not comfortable. 3) average. 4) very low quality material used required heavy maintenance.
5) breaking system is very poor. Drum break is always broken. Rainy & moist seasons breaks is not operate gives the noise and jam the whole scooter running it very horrible & difficult to move the vehicle even single inch also. Head light is low beam.",Daily Commute,> 1 yr,< 5000 kms,1,3,1,,2,,2,,1,Hero Electric Optima
"Built quality is bad. Body parts are made up from poor quality plastic, mudguard, motor cover panels etc but battery performance is nice. Speed is sufficient for city ride but on climb, it feels lack of power. Company should improve their mechanics, costumer care, spear parts availability network etc.",Daily Commute,> 1 yr,10000-15000 kms,3,3,2,,3,,4,,3,Hero Electric Optima
"The waiting time after making the 3000/- advance is about 2 months. The vehicle built quality is not that good and breaks are not good. The distance covered per full charge is 100 km (expected). But the operational cost is very low compared to the petrol scooters. Service side till now I have not experienced. Seat is not that comfortable. If you have some alternative, then you may not think for it. Look wise ok. Speed is max 48 km/h which i got with 2 persons riding on it. The body parts are of fiber. Subsidy amount of 43000/- will come after 3 months of registration.",Everything,< 3 months,< 5000 kms,2,3,3,,2,,2,,3,Hero Electric Optima
"The buying experience was just amazing. I was hoping to buy a scooter that helps my spouse to learn riding a scooter. It is really helping my spouse. I am using it on a daily basis to commute around 30 km. This has perfectly saved my pocket from fueling my car on daily commute. The only thing i am very much concerned is the speed. I bought a low speed model thinking that it is sufficient. Trust me it is not working out on roads like the omr it express way. If i have to make a turn on a 3 lane road, i really need to be cautious as the speed is not in sync with others on the road. I would suggest not to go with a low speed model. Rather get high speed models, that may come in good for such roads.",Daily Commute,3-6 months,< 5000 kms,3,3,3,,,,2,,3,Hero Electric Optima
"Good job*****. Nice bike in looks , power like petrol bike , budget friendly best thing is electric bike are not harmful for environment this bike very soon in my garage & i go to ride with my friends ..Now this is the time of e-bike\car , after 2020 almost every bike & car will be electric & *tork* rule the market..",Daily Commute,Never owned,,4,4,3,4,4,,4,,,Tork Kratos
"Bike comes with an dc brushless motor with an battery capacity of 72ah , which means you can seamlessly ride upto 90-95 kilometres per full charge on a heavy traffic road and bms system gives you a auto maintenance of bike due to its cloud connectivity , the company gives suggestions about your bike maintenance if required and it comes with good storage space and charging ports.",Everything,Never owned,,5,5,5,4,2,,4,,,Tork Kratos
,Everything,Never owned,,5,5,5,5,5,,5,,,Tork Kratos
"Total price of this bike after taxes will be 1.36lakh. Which is too much high for Indian two wheeler market.And there is no charging station available so if we ride from mumbai to vapi-gujarat then we will have to drive for 100 km then for 70 km we bike need to be send by transporters vehicles.Option to change battery need to be available so we can carry two charged batteries while travelling for long distance.And price must be below 1 lakh, if govt provide subsidy then only people will be interested in buying environment friendly vehicles.",Occasional Commute,Never owned,,3,4,4,4,2,,3,,,Tork Kratos
This bike looks amazing and for me it is good for daily use very soon i'll the owner of this bike for sure it's and hope to available in future with more colour combination make bike more sporty looks without any noise. I'm like the electric bikes and this is the real competition for zero x which is also one of the best e-bike and one the my favourite e-motorcycle.,Daily Commute,Never owned,,4,4,,,,,,,,Tork Kratos
"I like this bike, this is very grateful experience, i like electric bikes, there is no worry for petrol filling and waste of money. Just charge and go to your work without worrying, any condition you can run without money, charge in your home and go wherever you go to your work and your picnic and your family works this is very good for every people in this time go green.",Everything,3-6 months,< 5000 kms,5,4,4,4,4,,5,,,Tork Kratos
"This is one of the kickstart in the market of two-wheelers which will end a region of rising oil prices. The design of the bike is fairly based on fz-s, as it was tork motorcycle's 4th prototype. Since it is an electric bike, the fuel tank is converted into 11l boot space, large enough to fit a full sized helmet. The only issue it might face is the charging points.",Everything,Never owned,,5,4,5,4,,,5,,,Tork Kratos
"Awesome electric bike and eco-friendly too low nvh n peace of mind,totally superb bike and riding experience is too good, look wise is great road presence, performance is too high, very low maintenance Only problem is lack of charging points otherwise too good electric bike In this segment this bike will be first in class.",Daily Commute,3-6 months,5000-10000 kms,5,5,5,5,5,,5,,,Tork Kratos
"As how much i know about this bike is its superb no pollution tension, no petrol tenson, easy to ride, no gear system,just pull the race & go. But some issue i thought is deciding factor like price is little bit high, and the availability & the most important point service points these are major point in my sight.",Everything,Never owned,,4,4,3,4,4,,4,,,Tork Kratos
"The price is decent for this bike, even if some users find the price a little high. The only difficulty we south Indians may face is that the showroom is up north. If we ever come across any issues , if would be hard for us to contact service centres. In all other aspects, i think this bike is gonna change everything. A huge relief would be that we don't have to pay for petrol anymore. The bike has decent power too which other electric scooters lack and of course it looks good.",Daily Commute,Never owned,,5,4,4,4,4,,4,,,Tork Kratos
"Tork t6x ....I have been waiting for this bike since last year....1st launch date was given as dec,2018, Then it changed to jan,2019....Again for the 3rd time it changed to july 2019.....Hope this doesn’t get postponed further....I have been waiting to purchase this bike bt if date’s keeps on postpnd then will purchase another one......Just reading the reviews from people which is good...But company is not serious to launch on given dates...",Daily Commute,Never owned,,3,3,4,4,4,,4,,,Tork Kratos
Still waiting for this bike. Waiting and Waiting from last year or more than year. Now decided go with Revolt bike. Now launch in Few month before. But unfortunately booking are full till Oct. Many time I registered my details for TORK bike but still no reply from tork team. I go with other electric bike.,Occasional Commute,Never owned,,1,1,1,1,1,,1,,,Tork Kratos
"Waiting for so that now i have removed this bike from my favourite list, will definitely go for other electric bikes already available in India, commitments should only be made when the company is sure about its release and availability to the consumers, this firm is still struggling for its research and development.",Daily Commute,> 1 yr,< 5000 kms,1,1,1,1,1,,1,,,Tork Kratos
"While in thailand we have rented 5 honda click scooters and 7 in total. The bike i rented from aya was poorly maintained, had half a tank of fuel when I rented, and i didn't feel comfortable riding it because of all the issue it had from prior accidents from previous customers. When asked to switch bikes there were none left so we ended up having to use it. Every other bike we have rented has been amazing.
As for the business side of things, the renting of the bike was ok but trying to return the bike was a hassle. The process was confusing and when we didn't have the receipt which was missed place whilst traveling, staff became very rude and unhelpful. The woman we were working with had the worst attitude when trying to exchange our bike for the passports and was generally very unpleasant to work with even for simple paperwork.",Everything,Never owned,,1,1,1,1,1,,1,,,Tork Kratos
"I like the style and seat comfort of the motorcycle. I got impressed by the acceleration while giving throttle in sports mode. Real world range 120km which is quite impressive. Top speed is 105kmph which is more than enough. The best part is that its completely made in India.
Perfect electric motorcycle",Daily Commute,Never owned,,5,5,5,5,5,,5,,,Tork Kratos
"I took a test ride at westend mall aundh and really liked the entire experience. The bike is very easy to handle, has a sporty design and is very comfortable. I even sat with a person behind me, and there was no problem in speed or the handling of the bike. Booked one, hope they start delivering kratos and kratos r soon.",Daily Commute,Never owned,,4,5,4,4,4,,3,,,Tork Kratos
"Tork motors kratos- r is excellent -make in India electric motorcycle I have ever ridden, high performance delivering the best pickup on road ( sport mode), looks very attractive - agile styling, comfortable seat with good suspension on speed breakers. Though it is commuter, it gives experience of sport bike riding. I think its smart, ecofriendly & on the top very cost-effective transport now available for every indian.",Daily Commute,Never owned,,5,4,4,5,4,,5,,,Tork Kratos
"The electric motor on the t6x is good for 27 nm of torque and claims 100 kmph of top speed from the motorcycle. Weighing just 130 kg, t6x even claims a mileage of 100 kilometers on single charge. It carries nearly every safety feature like dual disc brakes, abs, anti-theft alarm and even takes just 60 minutes to charge the battery. It rivals no other as its exclusive place makes it the best electric two wheeler of the country.",Daily Commute,Never owned,,4,3,3,3,3,,3,,,Tork Kratos
,Everything,Never owned,,5,5,4,5,5,,4,,,Tork Kratos
,Everything,3-6 months,5000-10000 kms,5,5,5,5,4,,4,,,Tork Kratos
,Everything,> 1 yr,< 5000 kms,4,4,4,4,3,,3,,,Tork Kratos
It was amazing I got famous in my city with this bike It's glamour and power is superb Charging speed is good and travelling with t6x makes a new feeling it's torque is nearly same as it was given. It is also good for long ride. There best thing about it is that's every one in my family and friends are crazy about it It's really t6 super..... X.,Everything,> 1 yr,5000-10000 kms,4,5,4,4,4,,5,,,Tork Kratos
"Bike will set a benchmark in Indian daily commuting.
Bike has all the required attributes. It is only lagging in terms of safety. The company should allow dual channel ABS at least optional for the bike. With ABS it will be a complete package. Please set up a dealership in Mumbai which indeed will be the bigger market for the bike.",Daily Commute,Never owned,,5,4,4,4,4,,4,,,Tork Kratos
I would like to own this bike for the following reasons 1. Eco friendly 2. Electric bike 3.No fuel cost 4.Stylish streamline design 5.Abs breaks 6.Safety features 7.Tft screen interface 8.Tubeless tyres 9.Easily charged 10. Bike's track records 11.Good pillion seat 12.Helmet space 13.Mobile charging 14.Cloud updates 15.Cloud detects any malfunctioning in bike 16.No regular servicing 17.No oil chaning 18.Dual disk breaks 19.Good suspension 20.Bike to bike connectivity 21.Mobile to bike connectivity 22.Family suited.23.City street fighter bike 24.Water resistant battery 25.Company service engineer check ups.,Daily Commute,Never owned,,5,,,,,,,,,Tork Kratos
